Time,Zone,Entry,Exit,Total
2026-03-12 20:46:35.222252,All,0,1,0
2026-03-12 20:46:35.332583,All,0,1,0
2026-03-12 20:46:35.449340,All,0,1,0
2026-03-12 20:46:35.562149,All,0,1,0
2026-03-12 20:46:35.673829,All,0,1,0
2026-03-12 20:46:35.785357,All,0,1,0
2026-03-12 20:46:35.891486,All,0,1,0
2026-03-12 20:46:36.000305,All,0,1,5
2026-03-12 20:46:36.105984,All,0,1,4
2026-03-12 20:46:36.219891,All,0,1,1
2026-03-12 20:46:36.357700,All,0,1,0
2026-03-12 20:46:36.468706,All,0,1,0
2026-03-12 20:46:36.615380,All,0,1,2
2026-03-12 20:46:36.730167,All,0,1,0
2026-03-12 20:46:36.836521,All,0,1,2
2026-03-12 20:46:36.940673,All,0,2,1
2026-03-12 20:46:37.046434,All,1,2,1
2026-03-12 20:46:37.154423,All,1,2,1
2026-03-12 20:46:37.257635,All,1,2,1
2026-03-12 20:46:37.366767,All,1,2,1
2026-03-12 20:46:37.472841,All,1,2,3
2026-03-12 20:46:37.574726,All,1,2,1
2026-03-12 20:46:37.678477,All,1,2,2
2026-03-12 20:46:41.607394,All,2,2,2
2026-03-12 20:46:41.728189,All,2,2,2
2026-03-12 20:46:41.841904,All,2,2,3
2026-03-12 20:46:41.956667,All,2,2,2
2026-03-12 20:46:42.068809,All,2,2,3
2026-03-12 20:46:42.202477,All,3,2,3
2026-03-12 20:46:42.325251,All,3,2,3
2026-03-12 20:46:42.444829,All,3,3,4
2026-03-12 20:46:42.582134,All,6,3,4
2026-03-12 20:46:42.692826,All,6,3,4
2026-03-12 20:46:42.827211,All,6,3,2
Time,Zone,Entry,Exit,Total
2026-03-12 20:50:43.429946,All,0,0,0
2026-03-12 20:50:43.549138,All,0,0,1
2026-03-12 20:50:43.670707,All,0,0,2
2026-03-12 20:50:43.793361,All,0,0,2
2026-03-12 20:50:43.914409,All,0,0,1
2026-03-12 20:50:44.026887,All,0,0,1
2026-03-12 20:50:44.142435,All,0,0,2
2026-03-12 20:50:44.257659,All,0,0,2
2026-03-12 20:50:44.369552,All,0,0,1
2026-03-12 20:50:44.511333,All,0,0,1
2026-03-12 20:50:44.640487,All,0,0,1
2026-03-12 20:50:44.781882,All,0,1,1
2026-03-12 20:50:44.915804,All,0,1,0
2026-03-12 20:50:45.042308,All,0,1,0
2026-03-12 20:50:45.150990,All,0,1,0
2026-03-12 20:50:45.303459,All,0,1,0
2026-03-12 20:50:45.423460,All,0,1,0
2026-03-12 20:50:45.561130,All,0,1,0
2026-03-12 20:50:45.676402,All,0,1,0
2026-03-12 20:50:45.812047,All,0,1,5
